id,location_category,golf_name,golf_address,golf_scale,golf_holes,golf_latitude,golf_longitude
186,대구,성서5차산업단지파크골프장,대구광역시 달성군 다사읍 세천리1691,,9,35.8706240,128.4732427
187,경기,성저파크골프장,경기도 고양시 일산서구 대화동2325,,18,37.6814456,126.7418492
188,경북,성조천파크골프장,경상북도 의성군 의성읍 북원3길 35,,9,36.3613298,128.6957909
189,경북,성주읍파크골프장,경상북도 성주군 성주읍 경산리 경산교 일대 (성밖숲 건너편),,9,000,000
190,대구,소보파크골프장,대구광역시 군위군 봉황리,,18,36.2647,128.4963
191,강원,속초 경동대 파크골프장,강원도 속초시 도리원길 5,,9,38.1928096,128.5523125
192,강원,속초시파크골프장,강원도 속초시 관광로 363번길 92,,18,38.1926920,128.5347372
193,경남,송백파크골프장,경상남도 진주시 금산면 송백리 663,,36,35.2064705,128.1312020
194,전남,송월동파크골프장,전남 나주시 성북동 100,,9,35.0363443,126.7222322
195,경남,송정파크골프장,경상남도 산청군 생초면 어서리,,9,35.4951,127.8332
196,울산,쇠평파크골프장,울산광역시 동구 남목3동 산153,,18,35.5525932,129.4282392
197,대구,수림지파크골프장,대구광역시 달서구 대천동699,,18,35.8176211,128.5015639
198,제주,수망리파크골프장,제주특별자치도 서귀포시 남원읍 수망리 산 158-1,,18,33.3485117,126.6845595
199,대구,수성파크골프장,대구광역시 수성구 고모동 6-2,,27,35.8718608,128.6686553
200,대구,수성팔현파크골프장,대구광역시 수성구 고모동 20-3 수성패미리파크,,27,35.8700407,128.6743106
201,충북,수안보온천파크골프장,충청북도 충주시 수안보면 안보리 425-4 수안보생활체육공원 내,,27,36.8396442,128.0062706
202,경기,수원시파크골프장,경기도 수원시 권선구 서수원로577번길 171(서수원칠보체육관) ,,9,37.2762970,126.9483163
203,전북,순창군파크골프장,전라북도 순창군 유등면 왜이리 555-2,,9,000,000
204,경남,술뫼파크골프장,경상남도 김해시 한림면 시산리 495-2,,72,35.3384526,128.7760058
205,광주,승촌파크골프장,남구 승촌동 588-47번지 일원(승촌공원 내),,18,35.0673652,126.7585181
206,전남,시종마한파크골프장,전남 영암군 시종면 남해당로 65,,18,34.8953976,126.5827031
207,경남,시천(덕산)파크골프장,경상남도 산청군 시천면 사리 900-48,,18,35.2749009,127.8474199
208,경기,시흥시청파크골프장,경기도 시흥시 장현동 300 시흥시청 옆,,9,37.3799481,126.8031759
209,경기,시흥파크골프장,경기도 시흥시 목감동 신도시 내,,9,000,000
210,경남,신안파크골프장,경상남도 산청군 신안면 중촌갈전로 228-35,,18,35.3221246,127.9754627
211,전북,신태인파크골프장,전라북도 정읍시 신태인읍 신용리 881,,27,35.6779190,126.8848730
212,전남,실내체육관파크골프장,전남 목포시 상동 349-1,,9,34.8248579,126.4071655
213,경남,쌍백파크골프장,합천군 쌍백면 중앙로 63,,9,000,000
214,경기,안산신길파크골프장,경기도 안산시 단원구 신길동1748,,18,37.3305687,126.7556151
215,서울,안양천파크골프장,서울특별시 양천구 안양천로 1138,,18,37.5427284,126.8843402
216,경북,알천파크골프장,경상북도 경주시 구황동 7-1번지,,18,35.8401189,129.2440438
217,강원,양양송이조각공원 파크골프장,강원도 양양군 양양읍 송암리 540,,45,38.0902580,128.6377343
218,경기,양지파인리조트파크골프장,경기도 용인시 처인구 양지면 남평로112 양지파인리조트,,9,37.2107047,127.2936508
219,경기,양촌파크골프장,경기도 김포시 양촌읍 학운리 3084-4,,9,37.6096463,126.6248187
220,서울,양평누리파크골프장,서울특별시 영등포구 양화동 4-1,,18,37.5450309,126.8857623
221,경기,양평장애인파크골프장,경기도 양평군 강상면 교평리419,,18,37.4855784,127.4850152
222,경기,양평파크골프장,경기도 양평군 강상면 교평리419,,63,37.4855784,127.4850152
223,경북,양포파크구미교육원,경상북도 구미시 거양길 280(양호동 607-2),,18,36.1309539,128.3880827
224,경북,어울림파크골프장,경상북도 구미시 신평동 구미시산업로193-105,,18,000,000
225,경기,여주파크골프장,경기도 여주시 현암동 616-3,,36,37.3132606,127.6312113
226,경기,연천재인폭포오토캠핑장파크골프장,경기도 연천군 연천읍 고문리130-1,,9,38.0645707,127.1294658
227,경기,연천파크골프장,경기도 연천군 군남면 군남대교옆,,36,000,000
228,광주,염주파크골프장,광주광역시 서구 금화로 278,,9,35.1368103,126.8790595
